Hour,Buyer/Seller,Gmin [Wh],Gmax [Wh],Dmin [Wh],Dmax [Wh],w,z
18,2,0,0,0,331,2,1
19,2,0,0,0,502,3,1
20,2,0,0,0,554,2,1
21,2,0,0,0,311,4,1
22,2,0,0,0,340,1,1
23,2,0,89,0,391,3,1
24,2,0,1320,0,307,4,1
25,2,0,3736,0,742,3,1
26,2,0,2533,0,779,2,1
27,2,0,7887,0,477,2,1
28,2,0,8927,0,408,2,1
29,2,0,8767,0,580,3,1
30,2,0,7851,0,518,4,1
31,2,0,6312,0,585,3,1
32,2,0,3384,0,704,3,1
33,2,0,986,0,2706,3,1
34,2,0,81,0,3916,1,1
35,2,0,0,0,1949,3,1
36,2,0,0,0,823,2,1
37,2,0,0,0,703,2,1
38,2,0,0,0,592,3,1
39,2,0,0,0,685,3,1
40,2,0,0,0,373,1,1
41,2,0,0,0,519,2,1
42,2,0,0,0,607,4,1
43,2,0,0,0,484,1,1
44,2,0,0,0,371,4,1
45,2,0,0,0,402,4,1
46,2,0,0,0,724,4,1
47,2,0,118,0,1081,4,1
48,2,0,372,0,539,4,1
49,2,0,2536,0,507,4,1
50,2,0,1613,0,519,4,1
51,2,0,2349,0,432,2,1
52,2,0,2067,0,648,3,1
53,2,0,728,0,612,2,1
54,2,0,364,0,385,2,1
55,2,0,686,0,344,1,1
56,2,0,726,0,629,3,1
57,2,0,231,0,2546,3,1
58,2,0,7,0,1243,4,1
59,2,0,0,0,775,2,1
60,2,0,0,0,761,3,1
61,2,0,0,0,766,3,1
62,2,0,0,0,744,1,1
63,2,0,0,0,296,1,1
64,2,0,0,0,110,3,1
65,2,0,0,0,110,4,1
66,2,0,0,0,194,4,1
67,2,0,0,0,168,3,1
68,2,0,0,0,291,3,1
69,2,0,0,0,180,4,1
70,2,0,0,0,1169,2,1
71,2,0,29,0,1698,2,1
72,2,0,189,0,1043,2,1
73,2,0,351,0,911,1,1
74,2,0,549,0,964,3,1
75,2,0,1040,0,1031,4,1
76,2,0,1057,0,729,3,1
77,2,0,829,0,725,3,1
78,2,0,750,0,777,1,1
79,2,0,518,0,967,2,1
80,2,0,166,0,947,4,1
81,2,0,111,0,1637,4,1
